,2010,,,,,,,,,,,2013,,,,,,,,
Country,TB,Malaria,HIV,RoundWorm,HookWorm,WhipWorm,Schistosomiasis,Onchocerciasis,LF,,Country,TB,Malaria,HIV,RoundWorm,HookWorm,WhipWorm,Schistosomiasis,Onchocerciasis,LF
Portugal,"9,061",3.25,"42,759.25",-,-,-,-,,0,,Portugal,"6,200.00",0,"37,869.09",,,,25.27,,
Puerto Rico,,,0,-,-,-,-,,0,,Puerto Rico,,,"12,820.97",,,,130.93,,
Qatar,"1,563",207.74,952.15,0.3,14.67,-,-,,0,,Qatar,500,0,219.18,0,0,,0,,
Republic of Korea,"112,688",27.66,"21,670.53",-,0.53,-,-,,0,,Republic of Korea,"94,000.00",100,0,,,,0,,
Republic of Moldova,"23,159",14.11,"30,637.56",-,-,-,-,,0,,Republic of Moldova,"16,800.00",0,0,,,,0,,
Romania,"75,582",18.02,"32,849.87",-,-,-,-,,0,,Romania,"42,900.00",0,"7,650.67",,,,0,,
Russia,"920,069",447.09,"2,371,549.56",-,-,-,-,,0,,Russia,"634,800.00",0,"946,639.10",,,,47.66,,
Rwanda,"170,525","627,201.00","286,721.59","3,371.14","6,105.45",728.04,"37,386",,"9,434.85",,Rwanda,"169,400.00","294,400.00","288,853.94",7100,19400,1400,"10,221.15",,
Saint Kitts and Nevis,,,0,-,-,-,-,,0,,Saint Kitts and Nevis,,,0,,,,0,,
Saint Lucia,266,0.15,926.53,13.69,41.94,1.84,-,,0,,Saint Lucia,200,0,428.16,0,100,0,28.87,,
Saint Vincent and the Grenadines,87,0.09,"1,263.82",3.67,29.96,0.02,-,,0,,Saint Vincent and the Grenadines,100,0,997.8,,,,0,,
Samoa,321,6.23,0,0.11,271.55,0.01,-,,18.63,,Samoa,300,0,277.22,0,0,0,0,,100
San Marino,,,0,-,-,-,-,,0,,San Marino,,,0,,,,0,,
Sao Tome and Principe,539,"7,591.82","2,539.09",66.66,49.75,28.47,48,,0,,Sao Tome and Principe,600,"5,400.00","1,464.51",,,,177.75,,300
Saudi Arabia,"36,218",865.9,"9,142.05",468.24,"1,580.83",0.06,"3,149",,0,,Saudi Arabia,"27,100.00","1,700.00","13,600.97",700,2200,0,461.25,,
Senegal,"136,810","653,870.00","121,913.56",198.27,924.05,110.3,"23,101",,"24,470.51",,Senegal,"148,300.00","524,000.00","117,960.39",1300,1400,100,"30,570.90",,"9,100.00"
Serbia,"6,459",11.35,"17,720.16",-,-,-,-,,0,,Serbia,"4,500.00",0,490.4,,,,0,,
Seychelles,105,0.88,448.11,8.02,142.07,31.38,-,,124.13,,Seychelles,100,0,369.92,0,100,100,0,,
Sierra Leone,"104,261","675,786.00","131,187.27",755.08,"2,074.05",295.15,"36,256",,"15,260.77",,Sierra Leone,"92,000.00","718,200.00","153,643.34",2300,5900,400,"3,492.93",21200,"3,700.00"
Singapore,"2,957",0.67,"3,081.39",-,-,-,-,,0,,Singapore,"2,200.00",0,"2,395.25",,,,0,,
Sint Maarten (Dutch part),,,0,-,-,-,-,,0,,Sint Maarten (Dutch part),,,0,,,,0,,
Slovakia,"1,978",4.37,373.65,-,-,-,-,,0,,Slovakia,"1,500.00",0,176.1,,,,0,,
Slovenia,776,1.62,546.84,-,-,-,-,,0,,Slovenia,600,0,91.16,,,,0,,
Solomon Islands,"6,545","5,496.89",0,6.31,784.31,47.45,-,,0,,Solomon Islands,"4,300.00","3,000.00",801.4,,,,0,,
Somalia,"256,355","951,236.00","265,788.34",286.34,"4,098.24","1,477.01","37,130",,0,,Somalia,"382,100.00","496,300.00","127,018.61",3300,10800,2700,"17,927.68",,
South Africa,"874,640","17,351.80","11,915,616.10","3,348.08","19,314.15","18,639.93",-,,0,,South Africa,"1,006,200.00","21,800.00","11,928,553.93",5200,61600,44400,"45,177.87",,
South Sudan,"240,531","286,556.96","551,177.50",-,"1,316.30",-,"16,228",,"2,485.46",,South Sudan,"365,600.00","246,200.00","657,078.53",3600,3900,0,"18,119.39",98000,"5,200.00"
Spain,"17,590",12.04,"56,242.71",-,-,-,-,,0,,Spain,"11,900.00",0,"56,391.34",,,,0,,
Sri Lanka,"49,596","2,410.07","9,506.09",619.3,"2,353.41",186.49,-,,"3,816.39",,Sri Lanka,"43,700.00",900,"3,746.83",900,5700,500,0,,"5,300.00"
Sudan,"276,907","1,145,640.00","886,973.37",-,-,6.54,"149,556",,"56,313.77",,Sudan,"98,000.00","430,000.00","162,217.97",2700,12900,0,"19,079.63",,"39,000.00"
Suriname,515,552.17,"14,823.65",3.24,68.97,0,71,,0,,Suriname,700,100,"3,836.65",0,100,0,499.4,,
Swaziland,"29,996","1,000.00","361,429.70",150.93,"1,300.70",777.12,"2,771",,0,,Swaziland,"62,800.00","11,900.00","358,933.06",400,3000,1500,918.65,,
Sweden,482,0,"1,943.24",-,-,-,-,,0,,Sweden,"1,600.00",0,"1,705.12",,,,0,,
