Impact Score'!FB5=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TB,,,,,,,Malaria (p.falc),,,,,,,,,,,,,,,,Malaria (p.vivax),,,,,,,,,,Malaria,HIV,,,,,,,,,,,,,RoundWorm,,,Hookworm,,Whipworm,,,,,,Worms,Schistosomiasis,,LF,,,,Total,,,TB,,,,,,,Malaria (p.falc),,,,,,,,,,,,,,,,,,,Malaria (p.vivax),,,,,,,,,,Malaria,HIV,,,,,,,,,,,RoundWorm,,,Hookworm,,Whipworm,,,,,,Worms,Schistomasis,,Onchocerciasis,,LF,,,,Total
Barbados,19.65,56.96,0,0,0,0.06,76.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.72,0.14,5.03,0.03,0.34,4.31,0.41,0.19,0.27,1.71,0.71,0.02,19.87,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,96.55,,Barbados,0.91,5.74,0,0,0,0.04,6.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.68
Belarus,605.78,"22,936.20",49.43,7.65,94.59,64.53,"23,758.19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302.5,0.68,128.77,2.3,130.94,125.11,20.03,7.36,215.41,65.15,0,0,998.27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"24,756.46",,Belarus,109.65,693.63,"1,414.11",218.93,"2,060.17",65.14,"4,561.63",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,561.63"
Belgium,171.64,"3,403.93",4.28,0.66,7.05,0.32,"3,587.89",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.54,1.17,3.12,0.1,4.34,2.83,0,1.1,4.57,0.01,0,0,25.78,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,613.67",,Belgium,17.45,110.36,5.57,0.86,6.81,0.23,141.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.28
Belize,83.06,469.11,0,0,0,0.45,552.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.048059259,0,0,0,0,0,0,0,0,3.048059259,3.05,107.48,2.22,81.49,0.55,5.27,69.31,6.32,3.1,4.61,26.46,11.02,0.33,318.15,582.52,343.7,-,147.11,4.61,-,-,-,926.22,151.72,-,"1,077.93",-,-,-,-,-,-,"1,951.75",,Belize,0,0,0,0,0,0.26,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.89,0,0,0,0,0,0,0,0,2.89,2.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.14
Benin,"11,031.12","85,943.12",6.68,1.03,9.45,1.61,"96,993.01","3,933.44",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,933.44",0,0,0,0,0,0,0,0,0,0,"3,933.44","1,339.73",26.73,561.33,10.88,592.6,536.05,76.13,50.51,925.3,248.89,0,0,"4,368.15",-,-,-,-,-,-,-,-,-,-,-,-,"1,523.43","1,523.43",-,-,261.83,261.83,"111,013.30",,Benin,"1,219.88","7,716.72",114.94,17.79,"1,226.25",23.97,"10,319.55","598,063.97",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"598,063.97",0,0,0,0,0,0,0,0,0,0,"598,063.97",0,0,0,0,0,0,0,0,0,0,0,"5,206.55",0,0,0,0,0.03,0,0,"5,206.55",0,0.03,"5,206.58","1,147.65","1,147.65","3,848.48","3,848.48",0,0,177.06,177.06,"618,763.30"
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,,Bermuda,0.08,0.5,0,0,0,0,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58
Bhutan,558.67,"5,419.27",2.03,0.31,2.73,1.22,"5,984.23",1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24,17.93252555,0,0,0,0,0,0,0,0,17.93252555,19.18,5.43,0.03,2.29,0.04,2.35,2.29,0.37,0.16,3.81,1.18,0,0,17.97,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"6,022.62",,Bhutan,0,0,31.07,4.81,43,1.39,80.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.27
Bolivia,"3,368.47","66,364.88",0,0,0,54.03,"69,787.38",0,0,0,12.25,0,0,0,0,0,0,0,0,0,0,0,12.25,44.49995062,0,0,0,0,0,0,0,0,44.49995062,56.75,882.3,19.98,645.79,1.52,47.62,566.01,56.54,23.02,28.2,236.83,98.81,0.9,"2,607.52",2.79,2.76,-,48.27,9.98,0.3,0.47,-,5.55,58.26,0.77,64.58,-,-,-,-,-,-,"72,528.48",,Bolivia,312.4,"1,976.17",78.99,12.23,121.15,13.41,"2,514.35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.64,0,0,0,0,0,0,0,0,92.64,92.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,606.99"
"Bonaire, Saint Eustatius and Saba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,,"Bonaire, Saint Eustatius and Saba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,0,"7,324.15",0.93,0.14,1.15,0.76,"7,327.14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0.06,0.15,0,0.21,0.14,0,0.05,0.22,0,0,0,1.25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"7,328.39",,Bosnia and Herzegovina,37.48,237.07,2.15,0.33,2.7,0.09,279.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279.81
