,2010,,,,,,,,,,,2015,,,,,,,,
Country,TB,Malaria,HIV,RoundWorm,HookWorm,WhipWorm,Schistosomiasis,Onchocerciasis,LF,,Country,TB,Malaria,HIV,RoundWorm,HookWorm,WhipWorm,Schistosomiasis,Onchocerciasis,LF
Germany,"14,916.60",27.25,"29,224.36",-,-,-,-,,0,,Germany,"7,519.56",0,"20,732.24",-,-,-,0,,
Ghana,"154,629.00","1,548,960.00","886,553.78",488.01,"1,888.75",4.33,"131,862",,"32,672.79",,Ghana,"149,645.17","1,057,846.69","545,952.31",832.62,"1,417.72",2.71,"35,732.45",,"14,272.56"
Greece,"2,564.03",4.3,"26,674.08",-,-,-,-,,0,,Greece,"2,494.48",0,557.58,-,-,-,0,,
Grenada,64,,85.58,-,-,-,-,,0,,Grenada,,0,88.66,-,-,-,0,,
Greenland,90,0.09,563.8,3.06,33.3,0.02,-,,0,,Greenland,49.62,0,499.69,1.62,18.24,0.02,0,,
Guam,,,0,-,-,-,-,,0,,Guam,136.51,3.94,202.41,-,0.03,-,0,,95.13
Guatemala,"48,853.10","2,860.28","93,800.38","2,499.72","18,861.73","1,484.22",-,,0,,Guatemala,"13,192.05","1,659.51","34,508.19","4,552.05","3,904.70",839.37,0,,
Guinea,"133,856.00","1,455,480.00","202,797.91",492.5,"3,991.42",107.76,"42,021",,"10,918.31",,Guinea,"136,504.28","1,404,493.52","215,949.84","1,391.87","4,697.50",110.63,"34,495.22",,"9,721.23"
Guinea-Bissau,"26,857.80","261,426.00","40,326.78",22.97,388.28,1.63,"3,265",,"4,218.48",,Guinea-Bissau,"27,186.95","59,099.82","68,697.51",169.2,231.76,0.89,"4,254.52",,"2,469.96"
Guyana,"3,352.02",676.83,"20,299.35",46.94,59.27,5.11,-,,5.85,,Guyana,"2,448.82",478.2,"21,193.86",19.18,23.86,3.25,0,,896.88
Haiti,"182,214.00","45,104.60","113,862.81",467.98,526.81,20.63,-,,91.39,,Haiti,"32,566.06","4,915.54","341,835.80",199.99,137.8,5.61,0,,"15,512.42"
Honduras,"15,566.70","1,109.86","70,453.58","1,457.24","1,661.42","1,088.77",-,,0,,Honduras,"13,572.36",540.58,"27,096.44",598.62,292.43,705.87,0,,
Hungary,"7,416.23",7.93,"7,907.77",-,-,-,-,,0,,Hungary,"1,734.94",0,"1,623.28",-,-,-,0,,
Iceland,55.76,0.1,385.09,-,-,-,-,,0,,Iceland,33.32,0,58.18,-,-,-,0,,
India,"15,546,900.00","2,562,790.00","9,265,136.14","138,735.60","138,535.40","10,449.48",-,,"1,495,678.00",,India,"16,505,150.17","3,766,703.30","5,475,523.00","93,769.20","73,985.83","8,171.43",0,,"649,881.79"
Indonesia,"5,843,680.00","754,550.00","650,612.47","20,659.50","25,459.22","1,776.76",-,,"99,103.75",,Indonesia,"3,222,698.35","222,702.65","572,545.30","12,521.63","18,329.15","1,505.32",390.35,,"282,643.82"
Iran,"60,518.80",290.87,"114,605.33","1,261.48",424.15,0,-,,0,,Iran,"48,813.94",586.16,"14,075.32","1,109.31",217,0,261.06,,
Iraq,"61,338.50",46.8,461.89,372.34,526.38,19.93,"5,286",,0,,Iraq,"53,652.63",0,"5,954.37",42.22,2.49,0.01,"5,667.60",,
Ireland,"1,063.26",1.74,"1,721.95",-,-,-,-,,0,,Ireland,626.97,0,450.83,-,-,-,0,,
Israel,"1,184.35",3.35,"3,246.13",-,-,-,-,,0,,Israel,583.05,0,"1,811.76",-,-,-,0,,
Italy,"12,100.20",15.02,"55,268.90",-,-,-,-,,0,,Italy,"7,488.89",0,"34,135.10",-,-,-,0,,
Jamaica,814.09,2.32,"57,496.15",574.53,362.38,"3,135.65",-,,0,,Jamaica,573.28,0,"17,773.64",341.31,191.48,"2,401.67",0,,
Japan,"96,562.60",9.94,"6,731.32",-,-,-,-,,0,,Japan,"43,968.90",0,"4,450.66",-,-,-,0,,
Jordan,"2,557.98",1.85,"1,269.46",709.1,297.72,5.08,-,,0,,Jordan,719.41,0,602.22,405.18,136.97,4.9,198.6,,
Kazakhstan,"129,006.00",4.84,"33,760.68","2,468.23",0.37,-,-,,0,,Kazakhstan,"70,968.68",0,"16,425.25","1,732.50",0.17,-,0,,
Kenya,"494,163.00","1,600,800.00","3,000,991.03","1,270.00","4,416.34",222.93,-,,"28,833.50",,Kenya,"308,735.55","486,089.31","2,814,631.23","1,267.40","3,339.94",159.37,"66,579.20",,"9,328.72"
Kiribati,"1,194.49",2.79,196.03,0.06,160.96,572.44,-,,13.16,,Kiribati,"1,591.95",0.2,17.44,-,9.78,444.03,0,,102.14
Kuwait,"2,795.38",2.72,"2,745.53",-,-,-,-,,0,,Kuwait,787.84,0,340.19,-,-,-,0,,
Kyrgyzstan,"36,448.60",9.3,"38,870.40","1,099.80",0.15,-,-,,0,,Kyrgyzstan,"23,701.98",0,"12,973.38",730.9,0.08,-,0,,
Lao People's Democratic Republic,"85,173.50","40,270.10","13,863.14",803.11,"1,392.80",420.11,"1,614",,"2,654.64",,Lao People's Democratic Republic,"29,552.90","7,190.20","5,491.67",640.01,611.63,267.35,0,,89.87
Latvia,"4,608.25",6.48,"18,655.29",-,-,-,-,,0,,Latvia,"1,832.47",0,"4,973.71",-,-,-,0,,
Lebanon,"3,456.19",1.06,"8,523.74",1.38,53.48,-,-,,0,,Lebanon,"1,658.79",0,"3,895.09",-,0.06,-,1.34,,
Lesotho,"93,970.30",10.36,"680,409.75",203.54,"1,143.91","1,164.17",-,,0,,Lesotho,"100,270.16",0,"426,764.03",190.08,755.15,934.28,0,,
Liberia,"94,919.50","540,045.00","116,742.79",428.14,"1,948.65",145.01,"22,846",,"10,526.76",,Liberia,"80,129.98","183,213.42","105,070.58",431.27,"2,141.03",136.11,"12,442.74","51,173.78","3,829.08"
Libya,"7,939.99",1.78,"7,215.40",144.67,0.13,16.51,"4,704",,0,,Libya,"3,187.76",0,"4,981.47",19.28,0.06,1.67,"7,117.37",,
Lithuania,"10,654.50",6.8,"3,537.85",-,-,-,-,,0,,Lithuania,"6,368.63",0,"2,775.99",-,-,-,0,,
Luxembourg,90.23,1.27,332.9,-,-,-,-,,0,,Luxembourg,36.02,0,135.39,-,-,-,0,,
Madagascar,"180,999.00","787,324.00","202,962.27","11,916.76","4,003.66","1,333.14","112,420",,"32,751.82",,Madagascar,"181,093.78","350,206.87","225,229.69","7,705.85","2,546.34","3,956.60","34,675.48",,"47,783.87"
Malawi,"271,772.00","1,146,980.00","2,631,089.16",405.53,"1,749.52",14.2,"70,604",,"30,909.78",,Malawi,"178,154.49","941,730.20","1,340,171.85",963.28,731.14,5.18,"19,398.97","5,912.44","29,593.92"
Malaysia,"61,132.60","16,741.70","235,735.32","10,483.19","41,700.83","16,772.48",-,,0,,Malaysia,"40,762.00","15,124.12","94,098.37","6,243.71","13,836.05","12,935.24",0,,952.13
Maldives,447.81,2.56,102.02,0.1,4.24,-,-,,75.79,,Maldives,224.04,0,49.61,-,0,-,0,,2.41
Mali,"179,698.00","3,225,830.00","333,827.16",70.26,"2,946.54",0.15,"39,455",,"29,804.99",,Mali,"122,511.81","3,070,282.60","336,959.33",484.44,"1,568.53",0.08,"15,616.48",,"31,844.05"
Malta,85.22,0.13,142.58,-,-,-,-,,0,,Malta,23.98,0,88.99,-,-,-,0,,
Marshall Islands,573.39,1.99,0,1.37,132.61,168.89,-,,14.38,,Marshall Islands,114.12,0,169.96,0.43,25.38,157.15,0,,1.26
Mauritania,"34,758.80","108,355.00","52,504.73",13.21,217.47,5.26,"10,682",,"11,151.83",,Mauritania,"21,300.07","28,498.84","15,212.73",52.15,125.58,2.61,"6,625.89",,
Mauritius,538.52,9.83,"23,976.07",0.36,14.43,-,891,,0,,Mauritius,446.22,7.43,"3,773.09",-,0.03,-,"1,239.71",,
Mexico,"130,755.00",113.41,"253,760.01","8,764.66","87,555.80","7,283.73",-,,0,,Mexico,"84,919.09",787.54,"234,968.30","3,940.30",128.15,"5,102.33",0,,
Micronesia (Federated States of),785.2,4.14,0,33.04,73.85,0.42,-,,27.79,,Micronesia (Federated States of),144.51,0,185.52,18.9,15.47,0.38,0,,17.55
Monaco,,,0,-,-,-,-,,0,,Monaco,-,,,-,-,-,0,,
Mongolia,"25,608.40",0.96,"1,066.07",1.42,66.65,-,-,,0,,Mongolia,"15,676.90",0,124.73,-,0.05,-,0,,
Montenegro,294.89,0.53,93.67,-,-,-,-,,0,,Montenegro,128.98,0,59.58,-,-,-,0,,
Montserrat,,,0,-,-,-,-,,0,,Montserrat,-,,,-,-,-,0,,
Morocco,"218,892.00",8.93,"77,078.49","1,693.18",0.74,117.03,-,,0,,Morocco,"100,874.46",211.11,"10,045.28",525.58,0.47,65.87,"3,094.02",,
Mozambique,"540,212.00","3,360,590.00","3,853,078.93","1,603.13","8,003.00","8,528.97","137,996",,"44,717.64",,Mozambique,"418,851.84","1,920,110.91","3,295,568.54","2,935.35","9,199.23","8,553.35","22,149.90",,"52,042.59"
Myanmar,"1,122,430.00","1,225,710.00","1,098,668.52","5,281.18","1,937.53","3,360.54",-,,"17,741.51",,Myanmar,"689,465.79","406,350.21","258,901.52","2,348.70",253.36,"1,164.57",0,,"39,732.18"
Namibia,"42,917.10","24,977.40","260,588.37",14,801.79,"156,683.17",110,,0,,Namibia,"49,547.11","13,514.22","194,973.49",15.97,574.99,5.69,"1,767.74",,
Nauru,,,0,-,-,-,-,,0,,Nauru,-,,,-,-,-,0,,
Nepal,"359,659.00","30,423.00","217,743.66","3,383.66","20,541.97","1,903.24",-,,"11,083.46",,Nepal,"382,212.17","33,467.78","76,041.95","1,506.39","13,533.49","1,305.25",0,,"9,454.04"
Netherlands,"3,059.27",5.52,"5,205.16",-,-,-,-,,0,,Netherlands,"1,246.20",0,"2,785.55",-,-,-,0,,
New Caledonia,,,0,-,-,-,-,,0,,New Caledonia,-,,,-,-,-,0,,
New Zealand,656.17,20.38,910.06,-,-,-,-,,0,,New Zealand,352.79,0,586.2,-,-,-,0,,
Nicaragua,"14,090.80","1,712.03","4,338.15",299.36,504.01,99.6,-,,0,,Nicaragua,"6,239.57",191.94,"9,253.36",49.78,6.45,13.88,0,,
Niger,"277,628.00","2,053,540.00","181,019.31",203.19,"1,167.09",0.01,"19,567",,"28,962.02",,Niger,"277,211.31","2,314,368.12","148,523.14","1,387.88",433.83,0,"11,114.48",,"9,689.44"
Nigeria,"1,936,960.00","25,052,500.00","9,011,591.94","54,932.90","20,980.32",508.55,"706,393",,"285,345.26",,Nigeria,"685,247.35","15,922,533.94","7,618,863.54","78,268.72","21,730.23",489.6,"323,098.22","203,038.38","194,924.84"
Niue,,,0,-,-,-,-,,0,,Niue,-,,,-,-,-,0,,
Northern Mariana Islands,,,0,-,-,-,-,,0,,Northern Mariana Islands,60.73,1.36,68.4,-,0.01,-,0,,60.8
Norway,796.24,2.07,"1,232.36",-,-,-,-,,0,,Norway,530.89,0,659.94,-,-,-,0,,
Oman,"2,517.47",2.4,991.88,-,30.22,1.7,-,,0,,Oman,"1,227.82",27.28,"3,328.32",1.65,0.05,0,118.3,,
Pakistan,"2,452,820.00","214,312.00","202,141.18","24,821.10","2,262.59",34.13,-,,0,,Pakistan,"1,916,576.61","498,832.45","60,381.14","19,807.73","1,349.09",27.04,0,,
Palau,,,0,-,-,-,-,,0,,Palau,-,,,-,-,-,0,,
Panama,"7,909.73",785.05,"43,933.63",222.94,0.13,-,-,,0,,Panama,"6,877.91",124.12,"21,142.12",78.53,0.05,-,0,,
Papua New Guinea,"126,224.00","120,896.00","88,385.90","1,451.00","13,116.14",-,-,,"2,000.88",,Papua New Guinea,"16,773.17","84,051.83","39,139.48","1,235.27","10,334.31",-,0,,"30,557.11"
Paraguay,"12,487.90",6.66,"24,682.45",364.89,"1,214.90",7.49,-,,0,,Paraguay,"8,590.16",47.45,"14,050.96",120.8,504.47,5.06,0,,
Peru,"108,016.00","1,272.50","130,900.63",-,714.89,475.28,-,,0,,Peru,"68,785.89",760.96,"33,778.74",847.95,247.28,709.1,0,,
Philippines,"1,234,630.00","49,318.90","19,334.20","26,025.50","75,815.80","35,425.38","23,865",,"27,661.49",,Philippines,"788,657.93","58,122.34","214,766.66","14,268.02","20,157.69","29,904.33","48,808.00",,"9,686.37"
Poland,"32,492.70",31.86,"12,075.66",-,-,-,-,,0,,Poland,"16,350.80",0,"6,143.17",-,-,-,0,,
Portugal,"9,060.94",3.25,"42,759.25",-,-,-,-,,0,,Portugal,"4,850.43",0,"28,441.48",-,-,-,0,,
Puerto Rico,,,0,-,-,-,-,,0,,Puerto Rico,525.68,20.24,"12,372.10",-,-,-,136.89,,
Qatar,"1,562.81",207.74,952.15,0.3,14.67,-,-,,0,,Qatar,436.77,0,345.72,-,0.02,-,0,,
Republic of Korea,"112,688.00",27.66,"21,670.53",-,0.53,-,-,,0,,Republic of Korea,"126,259.24",,"3,774.04",-,-,-,0,,
Republic of Moldova,"23,158.90",14.11,"30,637.56",-,-,-,-,,0,,Republic of Moldova,"8,356.69",,"9,440.20",-,-,-,0,,
Romania,"75,582.20",18.02,"32,849.87",-,-,-,-,,0,,Romania,"36,094.39",0,"3,691.01",-,-,-,0,,
Russia,"920,069.00",447.09,"2,371,549.56",-,-,-,-,,0,,Russia,"429,515.03",0,"940,755.16",-,-,-,0,,
Rwanda,"170,525.00","627,201.00","286,721.59","3,371.14","6,105.45",728.04,"37,386",,"9,434.85",,Rwanda,"115,255.01","106,307.32","215,801.60","4,237.18","5,991.48",661.09,"9,597.34",,
Saint Kitts and Nevis,,,0,-,-,-,-,,0,,Saint Kitts and Nevis,-,,,-,-,-,0,,
Saint Lucia,265.75,0.15,926.53,13.69,41.94,1.84,-,,0,,Saint Lucia,189.93,0,393.42,6.09,26.42,1.47,29.56,,
Saint Vincent and the Grenadines,86.99,0.09,"1,263.82",3.67,29.96,0.02,-,,0,,Saint Vincent and the Grenadines,100.15,0,909.99,1.48,17.91,0.02,0,,
Samoa,320.66,6.23,0,0.11,271.55,0.01,-,,18.63,,Samoa,158.38,0,378.43,-,4.88,0,0,,126.86
San Marino,,,0,-,-,-,-,,0,,San Marino,-,,,-,-,-,0,,
Sao Tome and Principe,538.57,"7,591.82","2,539.09",66.66,49.75,28.47,48,,0,,Sao Tome and Principe,729.77,536.87,11.67,64.53,49.29,29.71,167.58,,274.76
Saudi Arabia,"36,217.90",865.9,"9,142.05",468.24,"1,580.83",0.06,"3,149",,0,,Saudi Arabia,"21,038.31",539.29,"22,931.39",146.82,"1,452.94",0.06,455.55,,
Senegal,"136,810.00","653,870.00","121,913.56",198.27,924.05,110.3,"23,101",,"24,470.51",,Senegal,"240,187.81","198,052.44","97,401.34",572.49,580.18,64.21,"25,251.22",,"7,690.78"
Serbia,"6,458.95",11.35,"17,720.16",-,-,-,-,,0,,Serbia,"4,058.85",0,"1,469.61",-,-,-,0,,
