2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,TB,,,,,,,Malaria (p.falc),,,,,,,,,,,,,,,,Malaria (p.vivax),,,,,,,,,,Malaria,HIV,,,,,,,,,,,,,RoundWorm,,,,,,Hookworm,,,,,,Whipworm,,,,,,,,,Worms,Schistomasis,,,,,,,LF,,,,Total,,2013,TB,,,,,,,Malaria (p.falc),,,,,,,,,,,,,,,,,,,Malaria (p.vivax),,,,,,,,,,Malaria,HIV,,,,,,,,,,,RoundWorm,,,,,,Hookworm,,,,,,Whipworm,,,,,,,,,Worms,Schistomasis,,,,,,,Onchocerciasis,,LF,,,,Total
Country,Impact of Active TB/HIV+ Treatment Regimen,Impact of Active TB/HIV- Treatment Regimen,Impact of MDR-TB Treatment Regimen,,,Impact of XDR-TB Treatment Regimen,Total Impact,Impact of AL,Impact of AS+SP,Impact of DHA-PPQ,Impact of AS+MQ,Impact of AS+AQ,Impact of CQ+PQ,Impact of DHA-PPQ+PQ,Impact of ART+NQ,Impact of ART+PPQ,Impact of AL+PQ,Impact of AS+AQ+PQ,Impact of SP,Impact of AS+MQ+PQ,Impact of QN+CL,Impact of QN+CD,Total Impact (p.falc),Impact of CQ+PQ,Impact of CQ,Impact of DHA-PPQ,Impact of QN,Impact of AL,Impact of AL+PQ,Impact of AS,Impact of AS+AQ,Impact of AS+AQ+PQ,Total Impact (p.vivax),Total Impact,Impact of 3TC,Impact of ABC,Impact of AZT,Impact of ddl,Impact of d4T,Impact of EFV,Impact of FTC,Impact of LPV/r,Impact of NVP,Impact of TDF,Impact of ATV/r,Impact of NFV,Total Impact,Impact Score'!CP5=,Mbd,Ivm+Alb,Dec+Alb,Pzq+Alb,Pzq+Mbd,Alb,Mbd,Ivm+Alb,Dec+Alb,Pzq+Alb,Pzq+Mbd,Alb,Mbd,Ivm+Alb,Dec+Alb,Pzq+Alb,Pzq+Mbd,Impact of Roundworm,Impact of Hookworm,Impact of Whipworm,Total Impact,IVM+ALB,DEC+ALB,PZQ,IVM,DEC,ALB,Total Impact,Impact of Single Dose of DEC (6mg/kg),Impact of Single dose of DEC (6mg/kg)+ALB(400mg),Impact of Combination of ALB(400mg)+IVM(400ug/kg),Total Impact,,,Country,Impact of Active TB/HIV+ Treatment Regimen,Impact of Active TB/HIV- Treatment Regimen,Impact of MDR-TB Treatment Regimen,,,Impact of XDR-TB Treatment Regimen,Total Impact,AL,AL+PQ,AM,ART+NQ,ART+PPQ,AS+AQ,AS+MQ,AS+MQ+PQ,AS+SP,AS+SP+PQ,AT+PG,CQ+PQ,DHA-PPQ,DHA-PPQ+PQ,PQ,QN,QN+CL,QN+D,Total Impact (p.falc),CQ+PQ,CQ,DHA-PPQ,QN,AL,AL+PQ,AS,AS+AQ,AS+AQ+PQ,Total Impact (p.vivax),Total Impact,Impact of 3TC,Impact of ABC,Impact of AZT,Impact of ddl,Impact of d4T,Impact of EFV,Impact of FTC,Impact of LPV/r,Impact of NVP,Impact of TDF,Total Impact,Alb,Mbd,Ivm+Alb,Dec+Alb,Pzq+Alb,Pzq+Mbd,Alb,Mbd,Ivm+Alb,Dec+Alb,Pzq+Alb,Pzq+Mbd,Alb,Mbd,Ivm+Alb,Dec+Alb,Pzq+Alb,Pzq+Mbd,Impact of Roundworm,Impact of Hookworm,Impact of Whipworm,Total Impact,IVM+ALB,DEC+ALB,PZQ,IVM,DEC,ALB,Total Impact,Impact of Ivermectin,Total Impact,Impact of Single Dose of DEC (6mg/kg),Impact of Single dose of DEC (6mg/kg)+ALB(400mg),Impact of Combination of ALB(400mg)+IVM(400ug/kg),Total Impact,
"China, Macao SAR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,,"China, Macao SAR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,"10,968.87","49,699.50",28.18,4.36,38.94,10.53,"60,750.38",0,0,0,138.02,0,0,0,0,0,0,0,0,0,0,0,138.02,89.31172675,0,0,0,0,0,0,0,0,89.31172675,227.34,835.34,19.01,608.34,0,45.28,543.57,53.98,19.81,21.31,226.06,94.26,0,"2,466.96",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"63,444.68",,Colombia,"5,740.04","41,062.76",27.97,4.33,44.45,12.22,"46,891.77",54.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.03,34.35,0,0,0,0,0,0,0,0,34.35,88.38,"1,424.45",0,"1,424.45",0,0,"2,648.51","1,224.06",0,0,"1,224.06","7,945.53",60.42,0,0,0,0,0,64.56,0,0,0,0,0,6.34,0,0,0,0,0,60.42,64.56,6.34,131.33,0,0,0,0,0,0,0,0,0,0,0,0,0,"55,057.00"
Comoros,0,"11,063.72",0,0,0,8.39,"11,072.11","4,472.65",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,472.65",0,0,0,0,0,0,0,0,0,0,"4,472.65",0.03,0,0.01,0,0.01,0.01,0,0,0.02,0.01,0,0,0.11,401.11,-,-,-,-,-,247.93,"1,081.72",-,-,-,-,17.98,-,-,-,-,-,401.11,"1,329.65",17.98,"1,748.74",-,-,-,-,-,-,-,-,-,-,-,"17,293.62",,Comoros,"9,404.44",0,0,0,0,11.57,"9,416.01",74.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.2,0,0,0,0,0,0,0,0,0,0,74.2,9.45,0,5.65,0,3.14,1.89,1.01,0,8.57,1.66,31.38,"1,117.34","5,609.04",0,0,0,0,532.75,"12,888.60",0,0,0,0,35.37,0,0,0,0,0,"6,726.38","13,421.35",35.37,"20,183.09",0,0,0,0,0,0,0,0,0,0,0,0,0,"29,704.68"
Congo,"7,949.51","50,976.80",0,0,0,47.4,"58,973.71",0,0,0,0,"38,292.06",0,0,0,0,0,0,0,0,0,0,"38,292.06",0,0,0,0,0,0,0,0,0,0,"38,292.06","7,378.39",141.95,"3,083.85",61.21,"3,254.59","2,993.20",433.19,278.43,"5,083.76","1,408.42",0,0,"24,117.00","3,721.81",-,-,-,-,-,"1,067.78","4,658.66",-,-,-,-,56.6,-,-,-,-,-,"3,721.81","5,726.43",56.6,"9,504.84",,-,,-,-,-,-,-,-,-,-,"130,887.62",,Congo,"9,921.67","38,612.49",0,0,0,8.71,"48,542.87",0,0,0,0,0,703.02,0,0,0,0,0,0,0,0,0,0,0,0,703.02,0,0,0,0,0,0,0,0,0,0,703.02,219.92,0,130.9,0,73.23,45.07,24.2,0,199.05,40,732.38,"14,759.25","74,091.24",0,0,0,0,0,"69,436.89",0,0,0,0,111.56,0,0,0,0,0,"88,850.49","69,436.89",111.56,"158,398.94",0,0,212.24,0,0,0,212.24,763.47,763.47,0,0,139.75,139.75,"209,492.66"
Cook Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,,Cook Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,249.27,"2,944.09",0,0,0,0.16,"3,193.52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063927572,0,0,0,0,0,0,0,0,0.063927572,0.06,33.26,0.72,24.69,0.02,1.7,22.03,2.05,0.77,0.88,8.57,3.57,0.01,98.26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,291.85",,Costa Rica,136.02,"1,963.27",0.28,0.04,0.34,0.2,"2,100.16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.61,0,3.61,0,0,6.74,3.13,0,0,3.13,20.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,120.38"
Cote dIvoire,"47,078.63","213,730.21",0,0,0,213.85,"261,022.69",0,0,0,0,"66,300.66",0,0,0,0,0,0,0,0,0,0,"66,300.66",0,0,0,0,0,0,0,0,0,0,"66,300.66","61,066.83",739.85,"25,694.17",493.73,"26,702.79","25,087.53","3,812.44","1,974.38","42,612.87","12,374.10",0,0,"200,558.68",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"10,705.98",-,-,-,"10,705.98",-,-,"1,147.83","1,147.83","539,735.83",,Cote dIvoire,"43,700.63","191,086.26",35.46,5.49,43.31,219.29,"235,090.46",0,0,0,0,0,"6,748.76",0,0,0,0,0,0,0,0,0,0,0,0,"6,748.76",0,0,0,0,0,0,0,0,0,0,"6,748.76",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,352.32","1,352.32","243,191.54"
Croatia,343.57,"3,332.80",0,0,0,2.91,"3,679.28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.16,0.01,2.2,0.04,2.24,2.12,0.34,0.13,3.67,1.1,0,0,17.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,696.29",,Croatia,192.6,"1,829.87",0,0,0,1.82,"2,024.29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,024.29"
Cuba,194.65,"4,060.93",0.19,0.03,0.27,0.23,"4,256.31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285.4,5.9,214.36,0.14,14.03,192.32,17.01,6.32,7.13,71.15,29.59,0.08,843.43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"5,099.74",,Cuba,105.95,"1,600.27",0.17,0.03,0.21,0.13,"1,706.75",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.38,0,24.38,0,0,45.41,21.03,0,0,21.03,136.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,842.98"
CuraASao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,,CuraASao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,11.7,113.54,0,0,0,0.1,125.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0.04,0.11,0,0.16,0.1,0,0.04,0.17,0,0,0,0.94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,126.29,,Cyprus,8.37,79.56,0,0,0,0.08,88.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.01
Czech Republic,72.71,"3,625.68",3.17,0.49,4.33,0.08,"3,706.46",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.01,0.02,0,0.02,0.02,0,0.01,0.03,0,0,0,0.14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,706.61",,Czech Republic,0,"1,737.51",0,0,0,1.51,"1,739.01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,739.01"
Democratic People's Republic of Korea,0,"188,304.11",0,0,0,142.81,"188,446.92",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.554215309,0,0,0,0,0,0,0,0,1.554215309,1.55,0,0,0,0,0,0,0,0,0,0,0,0,0,"25,997.78","51,719.59",-,-,-,-,"2,011.07","1,047.75",-,-,-,-,-,-,-,-,-,-,"77,717.37","3,058.82",-,"80,776.19",-,-,-,-,-,-,-,-,-,-,-,"269,224.67",,Democratic People's Republic of Korea,0,"104,994.78",8.07,1.25,11.48,123.78,"105,139.36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"105,139.36"
Democratic Republic of the Congo,"257,341.01","1,678,232.82",37.89,5.87,57.37,965.81,"1,936,640.77",0,0,0,0,"125,613.26",0,0,0,0,0,0,0,0,0,0,"125,613.26",0,0,0,0,0,0,0,0,0,0,"125,613.26","21,483.24",596.59,"8,855.68",192.32,"9,531.96","8,793.00","1,231.91",975.09,"14,474.20","3,970.29",0,0,"70,104.28",713.4,858.29,-,-,-,-,630.92,842.48,-,-,-,-,38.84,-,-,-,-,-,"1,571.69","1,473.40",38.84,"3,083.93",,-,,-,-,-,-,-,-,-,-,"2,135,442.24",,Democratic Republic of the Congo,"147,514.71","1,284,376.95",13.67,2.12,20.86,"1,020.55","1,432,948.86",0,0,0,0,0,"5,794.88",0,0,0,0,0,0,0,0,0,0,0,0,"5,794.88",0,0,0,0,0,0,0,0,0,0,"5,794.88","15,817.62",0,"9,429.01",0,"5,264.86","3,212.59","1,720.69",0,"14,325.71","2,844.44","52,614.91",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,214.54",0,0,0,"6,214.54","244,193.59","244,193.59",0,0,0,0,"1,741,766.78"
Denmark,0,"1,381.68",0.42,0.07,1.16,0.02,"1,383.34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.23,0.58,1.55,0.05,2.15,1.4,0,0.54,2.27,0,0,0,12.77,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,396.11",,Denmark,85.26,810.06,0,0,0,0.04,895.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,895.37
Djibouti,960.44,"10,749.77",0,0,0,9.21,"11,719.41",0,24.56,0,0,0,0,0,0,0,0,0,0,0,0,0,24.56,0,0,0,0,0,0,0,0,0,0,24.56,87.69,0.53,36.99,0.71,37.99,36.83,5.88,2.48,61.64,18.97,0,0,289.71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"12,033.68",,Djibouti,996.06,"13,619.25",0,0,0,1.8,"14,617.11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246.3,0,146.57,0,82.01,50.54,27.15,0,222.91,44.86,820.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"15,437.45"
Dominica,19.34,56.07,0,0,0,0.06,75.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.88,0.14,7.33,0.14,0.33,5.62,0.41,0.35,0.73,1.7,0.7,0.08,26.41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,101.89,,Dominica,64.41,0,0,0,0,0.08,64.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15,0,2.15,0,0,4,1.85,0,0,1.85,11.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.49
Dominican Republic,"3,671.76","18,895.09",21.96,3.4,31.26,12.02,"22,635.48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,394.56",47.86,"1,832.01",12.49,113.82,"1,562.65",137.2,67.63,101.55,574.09,238.94,7.42,"7,090.22",-,28.17,-,-,-,-,-,0.14,-,-,-,-,-,-,-,-,-,-,28.17,0.14,-,28.31,,,-,-,-,-,-,-,-,-,-,"29,754.01",,Dominican Republic,"2,874.05","12,426.44",22.27,3.45,31.77,13.98,"15,371.95",0,0,0,0,0,0,0,0,0,0,0,2.48,0,0,0,0,0,0,2.48,0.02,0,0,0,0,0,0,0,0,0.02,2.49,75.08,0,75.08,0,0,140.12,65.04,0,0,65.04,420.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"15,794.81"
Ecuador,"2,441.12","39,410.90",23.7,3.67,32.78,24.69,"41,936.86",0,25.53,0,0,0,0,0,0,0,0,0,0,0,0,0,25.53,36.35267654,0,0,0,0,0,0,0,0,36.35267654,61.88,510.19,11.1,377.31,0.22,26.4,336.96,31.73,11.85,13.3,132.79,55.29,0.13,"1,507.27",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"43,506.01",,Ecuador,"3,586.52","31,530.50",26.42,4.09,36.02,35.29,"35,218.85",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.97,0,0,0,0,0,0,0,0,1.97,1.97,15.29,0,15.29,0,0,28.52,13.24,0,0,13.24,85.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"35,306.39"
Egypt,97.01,"89,911.54",14.51,2.25,23.07,68.3,"90,116.68",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.48,0.21,12.83,0.25,13.2,12.88,2.07,0.89,21.36,6.64,0,0,100.81,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,623.73,-,623.73,"90,841.22",,Egypt,209.36,"32,948.90",0.17,0.03,0.34,32.96,"33,191.75",2.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.07,0,0,0,0,0,0,0,0,0,0,2.07,63.25,0,37.66,0,21.06,12.94,6.95,0,57.25,11.48,210.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"424,707.36",0,0,0,"424,707.36",0,0,0,49.14,0,49.14,"458,160.90"
El Salvador,448.79,"5,374.00",0.37,0.06,0.49,2.35,"5,826.05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576.07,11.69,439.16,3.2,27.81,372.46,33.39,16.74,25.41,139.75,58.2,1.9,"1,705.76",25.08,-,-,-,-,-,196.07,-,-,-,-,-,0.05,-,-,-,-,-,25.08,196.07,0.05,221.19,-,-,-,-,-,-,-,-,-,-,-,"7,753.01",,El Salvador,225.87,"3,062.90",0,0,0,2.93,"3,291.71",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.66,0,40.66,0,0,75.82,35.16,0,0,35.16,227.47,0,7.98,0,0,0,0,0,157.01,0,0,0,0,0,0,0,0,0,0,7.98,157.01,0,164.99,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,684.17"
Equatorial Guinea,"1,358.57","4,909.94",0,0,0,5.22,"6,273.73",0,0,0,0,"7,224.64",0,0,0,0,0,0,0,0,0,0,"7,224.64",0,0,0,0,0,0,0,0,0,0,"7,224.64",844.62,4.93,356.97,6.74,366.19,352.65,56.07,23.5,595.02,181.33,0,0,"2,788.03",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,,-,-,-,-,-,-,-,-,"16,286.40",,Equatorial Guinea,0,0,0,0,0,8.95,8.95,0,0,0,0,0,252.79,0,0,0,0,0,0,0,0,0,0,0,0,252.79,0,0,0,0,0,0,0,0,0,0,252.79,916.74,0,548.11,0,304.87,182.92,97.5,0,831.32,161.26,"3,042.74",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.52,0,0,0,10.52,135.37,135.37,0,0,0,0,"3,450.37"
Eritrea,"11,161.42","108,270.04",0,0,0,94.38,"119,525.84",0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1014.529949,0,0,0,0,0,0,0,0,1014.529949,"1,014.53",267.58,1.25,113.68,2.06,116.16,110.14,17.37,7,189.78,56.52,0,0,881.53,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,,-,-,-,-,-,-,-,-,"121,421.90",,Eritrea,"5,051.57","101,330.05",6.72,1.04,9.84,167.88,"106,567.10",0,0,0,0,0,387.46,0,0,0,0,0,0,0,0,0,0,0,0,387.46,0,0,0,0,0,0,0,0,0,0,387.46,114.68,0,68.61,0,38.13,22.81,12.15,0,104.02,20.09,380.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.27,0,0,0,158.27,0,0,0,0,0,0,"107,493.31"
Estonia,145,"1,631.94",17.74,2.75,56.19,1.8,"1,855.42",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52,0.07,0.19,0.01,0.27,0.17,0,0.07,0.28,0,0,0,1.58,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,857.00",,Estonia,120.76,"1,107.43",10.11,1.57,19.78,2.41,"1,262.06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,262.06"
Ethiopia,"223,055.95","1,883,596.91",75.54,11.7,106.8,473.56,"2,107,320.46","84,078.52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"84,078.52",0,0,0,0,0,0,0,0,0,0,"84,078.52","20,537.08",44.92,"8,719.33",160.04,"8,872.52","8,587.65","1,389.49",509.66,"14,580.61","4,498.78",0,0,"67,900.07","7,181.30","12,016.59",-,-,-,-,"6,123.47","11,676.08",-,-,-,-,283.16,-,-,-,-,-,"19,197.89","17,799.56",283.16,"37,280.61",,-,,-,-,-,-,-,-,0.79,0.79,"2,296,580.46",,Ethiopia,"144,564.36","1,641,692.90",38.3,5.93,56.14,814.5,"1,787,172.12","4,890.84",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,890.84",0,"1,194.37",0,0,0,0,0,0,0,"1,194.37","6,085.21","30,792.77",0,"18,511.78",0,"10,219.32","5,952.01","3,146.46",0,"27,987.22","5,208.13","101,817.69","18,126.60",0,0,0,0,0,"8,159.93",0,0,0,0,0,433.92,0,0,0,0,0,"18,126.60","8,159.93",433.92,"26,720.45",0,0,977.77,0,0,0,977.77,"16,506.50","16,506.50",0,0,"2,447.84","2,447.84","1,941,727.57"
Fiji,27.01,"2,009.79",0,0,0,1.55,"2,038.36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.07,0.08,15.37,0.27,15.63,14.85,2.37,0.87,25.72,7.71,0,0,118.95,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.9,-,2.9,"2,160.22",,Fiji,19.39,"1,252.74",0,0,0,1.11,"1,273.24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.47,0,6.85,0,3.81,2.3,1.23,0,10.39,2.03,38.08,0,0,0,2.7,0,0,0,0,0,1.65,0,0,0,0,0,0,0,0,2.7,1.65,0,4.34,0,0,0,0,0,0,0,0,0,0,45.79,0,45.79,"1,361.45"
Finland,"1,357.55",0,1.6,0.25,2.76,0.05,"1,362.21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,362.23",,Finland,113.84,"1,081.61",0.91,0.14,1.38,0.05,"1,197.93",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,197.93"
